"field_name","field_description"
"\"Positions\",\"Spatial definitions of the positions that exist in this model of instrument, where MaxWidth and MaxDepth are the x and y dimensions of the maximum size of object that will fit in this position. MaxHeight is defined as the maximum height of object that can fit in this position without either encountering a barrier or creating a functional impediment to an experiment procedure.\""
"\"Positions\",\"Spatial definitions of the positions that exist in this model of item cap.\""
"\"PostalCode\",\"The postal code of this site for shipping purposes.\""
"\"PowerConsumption\",\"Estimated power consumption rate of the instrument in Watts (Joule/Second).\""
"\"PowerType\",\"The type(s) of the power source(s) used by instruments of this model.\""
"\"PreSoak\",\"Indicates if it is recommended by the manufacturer that the membrane is soaked before the sample is loaded.\""
"\"Precision\",\"The amount a volume measurement deviates from the mean when measured with the meniscus at this volumetric flask's marked line.\""
"\"PreferredBalance\",\"Indicates the recommended balance type for weighing a sample in this type of container.\""
"\"PreferredBuffer\",\"The recommended running buffer for electrophoresis using this gel.\""
"\"PreferredCamera\",\"Indicates the recommended camera type for taking an image of a sample in this type of container.\""
"\"PreferredColumnJoin\",\"The column join that best connects a column to this guard column.\""
"\"PreferredContainers\",\"Known container models that this company tends to ship the samples they supply in.\""
"\"PreferredContainers\",\"The list of containers that should be chosen first, if possible, when choosing a container to store the sample in.\""
"\"PreferredCovers\",\"Known cover models (caps, lids) that this company tends to use to seal containers they supply.\""
"\"PreferredGuardCartridge\",\"The guard column cartridge which is preferred to be inserted into this column.\""
"\"PreferredGuardColumn\",\"The default guard column housings into which this cartridge can be inserted.\""
"\"PreferredGuardColumn\",\"The preferred guard column for use with this column.\""
"\"PreferredIllumination\",\"The illumination source that should be used when acquiring images of this container.\""
"\"PreferredMALDIMatrix\",\"The model of the matrix that is best suited for MALDI mass spectrometry of this sample.\""
"\"PreferredMixer\",\"Indicates the recommended mixer for this container.\""
"\"PreferredNumberOfWashes\",\"For each member of PreferredWashSolvent, he preferred number of times that the foam agitation module will be hand washed using the preferred wash solvent(s) after an experiment is run.\""
"\"PreferredNumberOfWashes\",\"For each member of PreferredWashSolvent, the preferred number of times that the column will be hand washed using the preferred wash solvent(s) after an experiment is run.\""
"\"PreferredWashBin\",\"Indicates the recommended bin for dishwashing this container.\""
"\"PreferredWashSolvent\",\"The chemicals that are preferred for use in washing this column.\""
"\"PreferredWashSolvent\",\"The chemicals that are preferred for use in washing this foam agitation module.\""
"\"PreferredWashSolvent\",\"The chemicals that are preferred for use in washing this sparge filter.\""
"\"PreferredWashSolvent\",\"The chemicals that are preferred for use in washing this stir blade.\""
"\"PreferredWipes\",\"The preferred cleaning wipes that will be used to dry the column after the experiment is run.\""
"\"PreferredWipes\",\"The preferred cleaning wipes that will be used to dry the foam agitation module after the experiment is run.\""
"\"PrefilterMembraneMaterial\",\"The material of the prefilter through which the sample travels to remove any large particles prior to passing through the filter membrane.\""
"\"PrefilterPoreSize\",\"The average size of the pores of this model of filter's prefilter, which will remove any large particles prior to passing through the filter membrane.\""
"\"Preparable\",\"Indicates if items of this model may be prepared as needed during the course of an experiment.\""
"\"Preparable\",\"Indicates if this samples/items of this model maybe prepared as needed during the course of an experiment.\""
"\"Preservative\",\"The substance the membrane was packaged in as a humectant to prevent cracking during drying and to help maintain desired pore structure.\""
"\"Price\",\"The baseline cost of this matrix when ECL generates it in advance and it is subsequently purchased.\""
"\"Price\",\"The cost of an Object of this reference electrode model when ECL generates it and it is subsequently purchased.\""
"\"PricingCategory\",\"The generic billing category this instrument model will be listed under.\""
"\"PricingLevel\",\"With respect to cost, the category of devices, for which this Instrument falls into.\""
"\"PricingRate\",\"The pricing rate the ECL charges for storing items with this storage condition as a function of time and volume.\""
"\"PricingRate\",\"The rate charged by the ECL for time used on this instrument in the course of conducting user experiments.\""
"\"PrimaryPump\",\"The device used to circulate the retentate.\""
"\"PrimeVolume\",\"The amount of liquid needed to fill the liquid handler's lines prior to its use.\""
"\"Prism\",\"Indicates whether this column has an attached prism, required for use with the Foam Imaging Module.\""
"\"ProbeDiameters\",\"For each member of Probes, the outside diameter of the sensing probe for this pH meter.\""
"\"ProbeLengths\",\"For each member of Probes, the length of the straight part of the sensing probe for this pH meter.\""
"\"ProbeSurfaceComposition\",\"The chemical or biological species which compose the coating on the bio-probe surface.\""
"\"ProbeType\",\"The type of pH measurement principle.\""
"\"ProbeTypes\",\"For each member of Probes, the manners in which the probe exposes its sensors to the sample.\""
"\"ProductDocumentationFiles\",\"PDFs of any product documentation provided by the supplier of this item model.\""
"\"ProductDocumentationFiles\",\"PDFs of any product documentation provided by the supplier of this model plumbing.\""
"\"ProductDocumentationFiles\",\"PDFs of any product documentation provided by the supplier of this model.\""
"\"ProductDocumentationFiles\",\"PDFs of product documentation provided by the supplier of this model.\""
"\"Products\",\"Products offered by this supplier.\""
"\"Products\",\"Products ordering information for this model of part.\""
"\"Products\",\"Products ordering information for this model.\""
"\"Products\",\"Products ordering information for this plumbing component.\""
"\"ProtectedColumns\",\"The analytical or preparative columns for which this column is preferred as a guard.\""
"\"Protocols\",\"All protocols that used this item at any point during their execution in the lab.\""
"\"Protocols\",\"All protocols that used this sample at any point during their execution in the lab.\""
"\"ProvidedStorageCondition\",\"The physical conditions such as temperature and humidity this instrument provides for samples stored long term within it.\""
"\"PumpMaxPressure\",\"The maximum pressure at which the pump can operate.\""
"\"PumpMaxPressure\",\"The maximum pressure at which the pump can still operate.\""
"\"PumpMaxPressure\",\"The maximum pressure that the pump can tolerate.\""
"\"PumpMinPressure\",\"The minimum pressure at which the pump can operate.\""
"\"PumpStrength\",\"Strength of the pump's recirculator measured in provided pressure.\""
"\"PumpType\",\"The number of solvents that can be blended with each other at a ratio during the gradient (e.g. quaternary can mix up to 4 solvents, while ternary can mix 3 and binary can mix 2 solvents). Binary pumps perform high-pressure mixing which is accomplished by two independent pumps and a mixing chamber located after the pumps, leading to increased gradient accuracy. Quaternary and ternary pumps provide low-pressure mixing environments where the mixing happens before the pumps.\""
"\"PumpType\",\"The number of solvents that can be blended with each other at a ratio for anion channel during the gradient (e.g. binary can mix 2 solvents and isocratic cannot mix multiple solvents).\""
"\"PumpType\",\"Type of vacuum pump. Options include Oil, Diaphragm, Rocker, or Scroll.\""
"\"Pungent\",\"Indicates if samples of this model have a strong odor.\""
"\"PyrogenFree\",\"Indicates if this model of container is tested to be not contaminated with endotoxin by the manufacturer.\""
"\"Pyrophoric\",\"Indicates if pure samples of this molecule can ignite spontaneously upon exposure to air.\""
"\"Pyrophoric\",\"Indicates if samples of this model can ignite spontaneously upon exposure to air.\""
"\"Pyrophoric\",\"Indicates if this storage condition is meant to contain samples that can ignite spontaneously upon exposure to air.\""
"\"QualificationFrequency\",\"A list of the Qualifications which should be run on instruments of this model and their required frequencies.\""
"\"QualityControlBeads\",\"The fluorescent beads used to characterize the detectors of the instrument prior to measurement.\""
"\"QuantitationDynamicRange\",\"The range of analyte concentration for which this probe functions optimally for a given compatible instrument. Dynamic range might vary for different background conditions and acquisition rates, and is based on testing of intended analyte molecules. The values are given as {instrument, lowerbound, upperbound}.\""
"\"QuantitationRegeneration\",\"Indicates if the probe can be regenerated to perform multiple successive quantitation measurements. AnalyteDependent indicates that probe regeneration depends on the species which is associated to the probe surface, and that any assays using regeneration should be user validated. Regeneration returns the probe surface to the original condition.\""
"\"RNaseFree\",\"Indicates that this model of container is free of any RNases when received from the manufacturer.\""
"\"RNaseFree\",\"Indicates that this model of sample is free of any RNases.\""
"\"Racked\",\"Indicates whether the pipette tips are pre-loaded into racks with defined tip positions.\""
"\"Racked\",\"Indicates whether the probes are pre-loaded into racks with defined probe positions.\""
"\"RadiationType\",\"The type of radiation used by this model of instrument to irradiate the samples to and obtain a diffraction pattern.\""
"\"Radioactive\",\"Indicates if samples of this model emit substantial ionizing radiation.\""
"\"Radioactive\",\"Indicates if this molecule emits substantial ionizing radiation.\""
"\"ReactorConditions\",\"The types of conditions that this reactor can generate.\""
"\"ReceivingContainer\",\"The room or building into which this order will be received.\""
"\"ReceivingModel\",\"The model of maintenance protocol used for receiving items at this ECL location.\""
"\"RecentMaintenance\",\"List of the most recent maintenances run on this container for each modelMaintenance in MaintenanceFrequency.\""
"\"RecommendedApplication\",\"The types of BLI experiments that the probe is intended for, as stated by the manufacturer in the product documentation.\""
"\"RecommendedFillVolume\",\"The largest recommended fill volume in the wells of this plate.\""
"\"RecommendedFillVolumes\",\"For each member of Positions, the largest recommended fill volume in the wells of this plate.\""
"\"RecommendedRefreshPeriod\",\"The recommended time duration to refresh the reference solution filled in the glass tube of the reference electrode model.\""
"\"RecommendedSampleVolume\",\"The smallest recommended sample volume required for a single run.\""
"\"RecommendedSoakSolution\",\"The liquid the manufacturer recommends the membrane should be soaked before the sample is loaded.\""
"\"RecommendedSoakTime\",\"The amount of time the manufacturer recommends the membrane should be soaked before the sample is loaded.\""
"\"RecommendedSoakVolume\",\"The amount of solution the manufacturer recommends the membrane should be soaked in before the sample is loaded.\""
"\"RecommendedSolventType\",\"The type of solvent this reference electrode model is recommended to work in.\""
"\"RecommendedVolume\",\"The volume of the sample in each well needed to perform the experiment.\""
"\"ReferenceAbsorbanceSpectra\",\"Reference absorbance spectra taken on empty plates of this modelContainer.\""
"\"ReferenceCouplingSample\",\"The chemical that forms a defined redox couple with the electrode's metal material. This redox couple indicates which ReferenceElectrodeType this reference electrode model belongs to.\""
"\"ReferenceElectrodeType\",\"The class category of this reference electrode model, which is defined by the combination of the electrode's material and the reference solution filled in its glass tube.\""
"\"ReferenceElectrode\",\"The electrode used as a reference with a constant potential difference.\""
"\"ReferenceSolution\",\"The recommended solution filled in the glass tube of this reference electrode model. The reference solution usually has a pairing ion species (ReferenceCouplingSample) to couple with the electrode metal material to form a defined redox couple.\""
"\"ReferenceSpectra\",\"Reference spectra for a given well window material collected using this model spectrometer.\""
"\"ReferenceVolumeData\",\"Reference volume data conducted on empty plates of this modelContainer.\""
"\"Reflectron\",\"Boolean describing whether or not the TOF mass spectrometer is equipped with a ion mirror (reflectron) to increase the flight path of the ions in the flight tube and improve mass accuracy.\""
"\"RefractiveIndexAccuracy\",\"The accuracy of the refractive index measurement on the instrument.\""
"\"RefractiveIndexDetector\",\"The type of detector to detect the refracted light in the refractive index (RI) detector for the determination of the refractive index of the sample.\""
"\"RefractiveIndexFlowCellVolume\",\"The volume of the instrument's refractive index (RI) detector's flow cell.\""
"\"RefractiveIndexResolution\",\"The smallest detectable increment of the refractive index on the instrument.\""
"\"RefractiveIndexSource\",\"The light source used to traverse the sample and measure its refractive index in the refractive index (RI) detector.\""
"\"RefractiveIndexWavelength\",\"The wavelength of the light used to traverse the sample and measure its refractive index in the refractive index (RI) detector.\""
"\"RefractiveIndex\",\"The refractive index of the substance at 20 degree Celsius.\""
"\"RentByDefault\",\"Indicates if this container should be 'rented' from the ECL rather than purchased when it is needed during the course of an experiment.\""
"\"RentByDefault\",\"Indicates if this item should be 'rented' from the ECL rather than purchased when it is needed during the course of an experiment.\""
"\"ReplacementParts\",\"A list of tracked replacement part models for this instrument.\""
"\"ReservoirContainer\",\"The model of reservoir container used by this instrument to hold liquid for dispension.\""
"\"ReservoirVolume\",\"The volume of the instrument's dialysate container.\""
"\"Reservoir\",\"The model of the container used by this instrument to hold the dialysate.\""
"\"ResinCapacity\",\"The weight of the resin that the column can be packed with.\""
"\"Resolution\",\"Resolution of the bottle top dispenser's volume-indicating markings, determining the increments at which volume can be dispensed.\""
"\"Resolution\",\"Resolution of the cylinder's volume-indicating markings, the volume between gradation subdivisions.\""
"\"Resolution\",\"Resolution of the vessel's volume-indicating markings.\""
"\"Resolution\",\"The smallest change in mass that corresponds to a change in displayed value. Also known as readability, increment, scale division.\""
"\"Resolution\",\"The smallest change in pH that corresponds to a change in displayed value. Also known as readability, increment, scale division.\""
"\"Resolution\",\"The smallest interval which can be measured by this pipette.\""
"\"Resolution\",\"The smallest volume increment between MinVolume and MaxVolume that can be measured by this syringe.\""
"\"Resolution\",\"This is the smallest change in mass that corresponds to a change in displayed value on the integrated balance.\""
"\"ResonanceFrequency\",\"The resonance frequency of each nucleus for this model of NMR instrument.\""
"\"Reusability\",\"Indicates that this container can be used repeatedly.\""
"\"Reusability\",\"Indicates that this item can be used repeatedly.\""
"\"Reusable\",\"Indicates if the plate cover can be washed and reused.\""
"\"Reusable\",\"Indicates whether this O-ring can be re-used if the part is removed from its installed location.\""
"\"Reusable\",\"Indicates whether this inlet liner can be re-used if the item is removed from its installed location.\""
"\"Rig\",\"The compatibile gel electrophoresis rig used to run this gel type.\""
"\"RollerDiameter\",\"The diameter of the rolling pins of the instrument.\""
"\"RollerSpacing\",\"The center-to-center distance between adjacent rolling pins of the instrument.\""
"\"Rotating\",\"Whether or not the microwave has a rotating plate during operation.\""
"\"RotorAngle\",\"The angle of the samples in the ultracentrifuge rotor that will be applied to spin the provided samples.\""
"\"RotorType\",\"The construction type of the rotor, such as swinging-bucket or fixed-angle.\""
"\"Rows\",\"The number of rows of positions in the rack.\""
"\"Rows\",\"The number of rows of well covers.\""
"\"Rows\",\"The number of rows of wells in the plate.\""
"\"SampleContainerClearance\",\"The maximum container height used to fit the sample container into the instrument.\""
"\"SampleHandlingCategories\",\"Special handling considerations that samples on this instrument require.\""
"\"SampleHandling\",\"The method by which this sample should be manipulated in the lab when transfers out of the sample are requested.\""
"\"SampleImagerRack\",\"Model of a rack that can be used to image this container on a sample imager instrument.\""
"\"SampleLoop\",\"The maximum volume of sample that can be put in the injection loop, before it is transferred into the flow path.\""
"\"SampleLoop\",\"The maximum volume of sample that should be loaded in the injection loop, before it is transferred into the flow path.\""
"\"SampleTrayMaxTemperature\",\"Maximum temperature of the autosampler tray where the samples in the autosampler deck are stored while awaiting measurement.\""
"\"SampleTrayMinTemperature\",\"Minimum temperature of the autosampler tray where the samples in the autosampler deck are stored while awaiting measurement.\""
"\"SampleType\",\"The type of samples that travels through this model of filter.\""
"\"SamplingMethods\",\"The sampling pattern of images that can be acquired from the samples by this instrument model. SinglePoint: acquires an image at the center of each well or sample. Grid: acquires multiple images along specified rows and columns. Coordinates: acquires image(s) at requested coordinates in each well or on a microscopic slide. Adaptive: uses an algorithm to calculate the number of cells in each field of view to increase the chances of acquiring valid data, until the indicated number of cells specified in AdaptiveNumberOfCells is obtained.\""
"\"SamplingPatterns\",\"Indicates the positions in the well the plate reader is capable of sampling from when taking readings.\""
"\"Scale\",\"Indicates if the instrument is intended to separate material (Preparative) and therefore collect fractions and/or analyze properties of the material (Analytical).\""
"\"Scale\",\"Shape of cuvette's contents holding cavity.\""
"\"Scale\",\"The volume range at which dispensing is being performed with this liquid handler.\""
"\"ScatterDirection\",\"Indicates the direction or directions of scattered light that the nephelometer is able to detect light from.\""
"\"ScatterSensitivity\",\"The smallest particle a the instrument can resolve with a forward scatter detector.\""
"\"Schematics\",\"Detailed drawings of the container that explain its capabilities and limitations.\""
"\"SchlenkLine\",\"The Schlenk line used as the vacuum and inert gas source during degassing.\""
"\"SealType\",\"An enumerated symbol describing how this seal is attached to a plate.\""
"\"SecondaryPump\",\"The device used to introduce the diafiltration buffer.\""
"\"SelfStandingContainers\",\"Model of a container capable of holding this type of syringe upright.\""
"\"SelfStandingContainers\",\"Model of a container capable of holding this type of vessel upright.\""
"\"SelfStanding\",\"Indicates if this container is capable of staying upright when placed on a flat surface and does not require a rack.\""
"\"SensorArmHeights\",\"For each member of CompatibleVessels, the height the detector must be set to before measuring liquid levels in the vessel.\""
"\"SensorBarrier\",\"Type of sensors which cannot monitor the internal contents of instruments of this model from the outside.\""
"\"SensorHeights\",\"The fixed heights of the liquid conductivity sensors as measured from the base of the column. The liquid conductivity sensors are made of 35 micrometer gold-finished copper, and measures electrical resistance in Ohm.\""
"\"SensorsManufactured\",\"Sensors manufactured by this supplier.\""
"\"SeparationMode\",\"The type of SPE for which this cartridge is suitable.\""
"\"SeparationMode\",\"The type of chromatography for which this cartridge is suitable.\""
"\"SeparationMode\",\"The type of chromatography for which this column is suitable.\""
"\"SeptumRequired\",\"Indicates that a septum must be placed under the cap before it can be used. Septum compatibility is determined based on the CoverFootprint field.\""
"\"ServiceProviders\",\"Companies that provide custom synthesis in this model.\""
"\"ShaftDiameter\",\"The outer diameter of probing part.\""
"\"ShaftLength\",\"The distance from the ends of the probe.\""
"\"ShakingRadius\",\"The radius of the circle traced by each shaker unit during orbital shaking.\""
"\"Shape\",\"The identifying geometrical feature of the O-ring.\""
"\"ShearConditionsGraph\",\"Describes the relationship between flow rate and membrane shear.\""
"\"SheathAdditive\",\"The surfactant sample used lower the surface tension of the sheath fluid to encourage laminar flow.\""
"\"SheathFluid\",\"The sample used be the instrument to hydrodynamically focus the beam of cells flowing through the instrument.\""
"\"ShelfLife\",\"The length of time after DateCreated that containers of this model are recommended for use before they should be discarded.\""
"\"ShelfLife\",\"The length of time after DateCreated that items of this model are recommended for use before they should be discarded.\""
"\"ShelfLife\",\"The length of time after DateCreated that samples of this model are recommended for use before they should be discarded.\""
"\"ShippingModel\",\"The model of maintenance protocol used for tracking facility wide parameters involved in shipping items to users from this ECL location.\""
"\"SingleUse\",\"Indicates if this model of sample must be used only once and then disposed of after use.\""
"\"Site\",\"The ECL site at which this sample currently resides.\""
"\"SizeCutoff\",\"The largest diameter or molecular weight of the molecules that can cross the membrane.\""
"\"Size\",\"The length of this item, in the direction of fluid flow.\""
"\"Size\",\"The length of this plumbing component, in the direction of fluid flow.\""
"\"SkirtHeight\",\"The distance from the bottom of the plate to the top lip of the skirt that surrounds the exterior of the plate.\""
"\"Skirted\",\"Indicates if this container has walls that extend below the vessel's well geometry to allow the vessel to stand upright on a flat surface without use of a rack.\""
"\"Softener\",\"Chemical agent that is used to soften tap water used to clean the labware.\""
"\"SolutionVolume\",\"The required volume of reference solution filled in the glass tube of the reference electrode for the electrode to properly work.\""
"\"Solvent\",\"The base solution this sample model is in.\""
"\"SonicationSensitive\",\"Indicates the electrode model has components that may be damaged if it is sonication-cleaned.\""
"\"Sonicator\",\"The sonicator used to agitate the sample in order to increase the liquid-gas interface surface area, to better allow dissolved gases to leave the sample during vacuum degassing.\""
"\"SpectralResolution\",\"The smallest spectral feature size that can be reliably detected by the CCD detector under normal operating conditions.\""
"\"SpeedResolution\",\"The minimum increment by which this centrifuge model's spin rate can be adjusted.\""
"\"SplitMode\",\"The inlet mode for which the inlet was designed to be used.\""
"\"Squeezable\",\"Indicates this container must be squeezed in order to have its contents removed.\""
"\"StackingEnergy\",\"The nearest neighbor parameters for the Gibbs free energy of the stabilizing interaction between flat surfaces of adjacent bases at STP (37C,1ATM).\""
"\"StackingEnthalpy\",\"The nearest neighbor parameters for the enthalpy of the stabilizing interaction between flat surfaces of adjacent bases.\""
"\"StackingEntropy\",\"The nearest neighbor parameters for the entropy of the stabilizing interaction between flat surfaces of adjacent bases.\""
"\"StainingSolutionVolume\",\"The amount of staining solution or rinse buffer that is needed to cover the gel during a PAGE protocol.\""
"\"State\",\"The physical state of a pure sample of this molecule at room temperature and pressure.\""
"\"State\",\"The physical state of the sample when well solvated at room temperature and pressure.\""
"\"State\",\"The state in which this site is located for shipping purposes.\""
"\"StaticEvaporationRate\",\"The rate of liquid nitrogen evaporation from from the freezer when closed.\""
"\"StaticLightScatteringDetector\",\"The apparatus used for measuring static light scattering intensity in the multimode spectrophotometer.\""
"\"StaticLightScatteringWavelengths\",\"Indicates the laser wavelengths available on the instrument for use as static light scattering light source.\""
"\"StationaryPhaseBonded\",\"Indicates if a GC column stationary phase is has been chemical bound to its support or crosslinked to improve thermal stability and/or solvent rinseability.\""
"\"Status\",\"Current usage state of the container. Meanings are as follows: Available (opened and in use); Stocked (not yet opened); Discarded (discarded or no longer in use); Reserved (earmarked for use in a particular protocol, control or maintenance); Flagged (involved in a protocol that required troubleshooting; integrity unknown).\""
"\"Sterile\",\"Indicates that this model of container arrives sterile from the manufacturer.\""
"\"Sterile\",\"Indicates that this model of item arrives sterile from the manufacturer.\""
"\"Sterile\",\"Indicates that this model of sample arrives sterile from the manufacturer.\""
"\"StirBarControl\",\"Indicates if the device can rotate magnetic stir bars.\""
"\"StirBarLength\",\"The overall length of the stir bar.\""
"\"StirBarShape\",\"The shape of this model of stir bar in the Y-Z plane.\""
"\"StirBarWidth\",\"The outside diameter of the stir bar.\""
"\"StirringSpeedAccuracy\",\"Indicates the level of uncertainty of stirring speed for this electrochemical reactor model.\""
"\"Stirring\",\"Indicates if this electrochemical reactor model has an attachable stirring component.\""
"\"Stirring\",\"Whether or not magnetic stirring is available to the unit.\""
"\"Stocked\",\"Indicates if the empty containers of this model are kept in stock for use on demand in experiments.\""
"\"StockingPrices\",\"For each UsageFrequency category, the stocking cost associated with the purchase of a product stored in this storage condition as a function of their storage volume.\""
"\"StorageBufferVolume\",\"Indicates the amount of storage buffer containers of this model come stocked with.\""
"\"StorageBuffer\",\"Indicates that containers of this model come stocked from the manufacturer with a storage buffer inside of the container.\""
"\"StorageBuffer\",\"Indicates that membranes of this model come packaged from the manufacturer with a storage buffer.\""
"\"StorageBuffer\",\"The buffer used to keep the resin wet while the column is stored.\""
"\"StorageCapacity\",\"Volume of pure water the purifier can store.\""
"\"StorageCaps\",\"Indicates if this column requires special storage locking caps when not installed on the instrument.\""
"\"StorageCondition\",\"The shortcut symbol that refers to the genre of storage provided by this object.\""
"\"StoragePhase\",\"Indicates whether samples are stored in direct contact (Liquid) or indirect contact (Gas) with liquid nitrogen.\""
"\"StreetAddress\",\"The street address of where samples should be shipped to this site (just the local road and street number, and any unit numbers only).\""
"\"StructureFile\",\"A file that contains the molecule's chemical structure.\""
"\"StructureImageFile\",\"An image depicting the molecule's chemical structure.\""
"\"SupportedElements\",\"List of elements which can be measured by this instrument.\""
"\"SupportedInstruments\",\"A list of instruments for which this model is an accompanying accessory.\""
"\"SupportedInstruments\",\"A list of instruments for which this model is replacement part or an accompanying accessory.\""
"\"SupportedIsotopes\",\"List of isotopes for each elements which can be measured by this instrument.\""
"\"SurfaceModeResolution\",\"The resolution(s) (in meters/min) for a given range (in meters/min) of the surface sensor tachometer.\""
"\"SurfaceTension\",\"The surface tension of the substance in pure form at room temperature.\""
"\"SymmetryEnergyCorrection\",\"The symmetry energy adjustment when calculating the Gibbs free energy of a palindromic oligomer strand binding to itself at STP (37C,1ATM).\""
"\"SymmetryEntropyCorrection\",\"The symmetry entropy adjustment when calculating the entropy of a palindromic oligomer strand binding to itself.\""
"\"Synonyms\",\"List of possible alternative names this model goes by.\""
"\"SyntheticMonomer\",\"StockSolutions used as defaults by the synthesis experiment function for this modification. For cases where different synthetic strategies are possible (Boc and Fmoc for example), different StockSolutions might be specified.\""
"\"SyntheticMonomers\",\"StockSolutions used as defaults by the synthesis experiment function for this type of Polymer to grow the polymeric chain. For cases where different synthetic strategies are possible (Boc and Fmoc for example), different StockSolutions might be specified.\""
"\"SyringeVolume\",\"The capacity of the syringe pump used to dispense the fluid.\""
"\"SyringeVolume\",\"Volume of the syringe used by the instrument.\""
"\"SystemFlushBuffer\",\"The buffer model used to generate the buffer gradient to purge the instrument lines at the end of an HPLC protocol.\""
"\"SystemFlushGradient\",\"The gradient used to purge the instrument lines at the end of an HPLC protocol.\""
"\"SystemFlushGradients\",\"List of the gradients used to purge the instrument lines at the end of an HPLC protocol for each chromatography type.\""
"\"SystemMaxPressure\",\"The maximum pressure that the weakest link in the system's flow path can tolerate.\""
"\"SystemPrimeBuffer\",\"The buffer model used to generate the buffer gradient to purge the instrument lines at the start of an HPLC protocol.\""
"\"SystemPrimeGradient\",\"The gradient used to purge the instrument lines at the start of an HPLC protocol.\""
"\"SystemPrimeGradients\",\"List of the gradients used to purge the instrument lines at the start of an HPLC protocol for each chromatography type.\""
"\"Tablet\",\"Indicates if this model is in the form of a small disk or cylinder of compressed solid substance in a measured amount.\""
"\"TankHeight\",\"The distance between the top and bottom of the tank that holds the dialysis tube.\""
"\"TankInternalDiameter\",\"The internal with of the tank that holds the dialysis tube.\""
"\"TankMaterial\",\"The material of which the tank that holds the dialysis tube is made.\""
"\"TankVolume\",\"The volume of solution the that can be held in the dialysis tank.\""
"\"TaperGroundJointSize\",\"The taper ground joint size designation of the mouth on this vessel.\""
"\"TareWeightDistribution\",\"The statistical distribution of the mean weight of empty containers of this model.\""
"\"TareWeight\",\"The mean weight of empty containers of this model. Experimental tare weights of new containers of this model must be within 5% of this weight.\""
"\"Teams\",\"The teams located at this site.\""
"\"TemperatureAccuracy\",\"How close the values measured by the detector are to the real value.\""
"\"TemperatureAccuracy\",\"The accuracy of a calibrated temperature measurement result under ideal conditions and for low densities/viscosities.\""
"\"TemperatureAccuracy\",\"The accuracy of temperature read on the instrument.\""
"\"TemperatureActivated\",\"High temperature is used to heat an adhesive membrane placed over an assay plate.\""
"\"TemperatureControl\",\"Type of temperature controller.  Options include: Water (for water bath), Air (for forced air circulation) or None.\""
"\"TemperatureControl\",\"Type of temperature controller.  Options include: Water (for water bath), Air (for forced air circulation), HotPlate (for a hot plate) or None.\""
"\"TemperatureControl\",\"Type of temperature controller. Options include: Water (for water bath), Air (for forced air circulation) or None.\""
"\"TemperatureControlledEnvironment\",\"Indicates if the microscope is fitted with a temperature-controlled sample chamber to maintain a specific temperature during imaging.\""
"\"TemperatureCorrection\",\"A list of available temperature correction options available for the device.\""
"\"TemperatureGradientOrientation\",\"The direction in which the gradation of temperature can be set. 'Columns' indicates a change in temperature across columns such that each row has a constant temperature. 'Rows' indicates a change in temperature across rows such that each column has a constant temperature. 'Dual' indicates that the temperature gradient can be set across columns or rows.\""
"\"TemperatureGradient\",\"Indicates if the instrument can use a gradation of temperatures for annealing.\""
"\"TemperatureProbe\",\"The model of temperature probe used to measure temperature when taking thermodynamic readings.\""
"\"TemperatureResolution\",\"The smallest detectable increment of temperature on the instrument.\""
"\"TemperatureStability\",\"The possible error of temperature read on the instrument.\""
"\"Temperature\",\"The temperature at which samples with this storage condition are kept when not in use by any experiment.\""
"\"Temperature\",\"The thermostat temperature at which the capillary ELISA experiment is held during the experiment.\""
"\"TerminalEnergyCorrection\",\"The terminal energy adjustment when calculating the Gibbs free energy of binding between two oligomer strands by the nearest neighbor method at STP (37C,1ATM).\""
"\"TerminalEnthalpyCorrection\",\"The terminal enthalpy adjustment when calculating the enthalpy of binding between two oligomer strands by the nearest neighbor method.\""
"\"TerminalEntropyCorrection\",\"The terminal entropy adjustment when calculating the entropy of binding between two oligomer strands by the nearest neighbor method.\""
"\"TerminalMass\",\"The mass adjustment given to the oligomer to correct the differences in the atoms attached at the end (C terminus for peptides and 5'-end for DNA/RNA/PNA) of the strand after accounting for all of the internal subunits.\""
"\"TerminalMolecule\",\"The molecule attached at the end (C terminus for peptides and 5'-end for DNA/RNA/PNA) of the strand after accounting for all of the internal subunits.\""
"\"TestCartridge\",\"The model of the verification cartridge plate that can be used by this model of capillary ELISA instrument to perform a series of diagnostic tests to ensure the instrument is running properly.\""
"\"TetraLoopEnergy\",\"The nearest neighbor Gibbs free energy contribution by a special type of four-base hairpin loop in the secondary structure of a nucleic acid at STP (37C,1ATM).\""
"\"TetraLoopEnthalpy\",\"The nearest neighbor enthalpy contribution by a special type of four-base hairpin loop in the secondary structure of a nucleic acid.\""
"\"ThawMixRate\",\"The default frequency of rotation the mixing instrument uses to mix samples of this model following thawing.\""
"\"ThawMixTime\",\"The default duration for which samples of this model are mixed following thawing.\""
"\"ThawMixType\",\"The default style of motion used to mix samples of this model following thawing.\""
"\"ThawNumberOfMixes\",\"The default number of times samples of this model are mixed by inversion or pipetting up and down following thawing.\""
"\"ThawTemperature\",\"The default temperature that samples of this model should be thawed at before using in experimentation.\""
"\"ThawTime\",\"The default time that samples of this model should be thawed before using in experimentation. If the samples are still not thawed after this time, thawing will continue until the samples are fully thawed.\""
